c384,r384,Gene
1,1,Border
1,2,Border
1,3,Border
1,4,Border
1,5,Border
1,6,Border
1,7,Border
1,8,Border
1,9,Border
1,10,Border
1,11,Border
1,12,Border
1,13,Border
1,14,Border
1,15,Border
1,16,Border
2,1,Border
2,2,9
2,3,25
2,4,11
2,5,5
2,6,16
2,7,9
2,8,6
2,9,1
2,10,2
2,11,15
2,12,18
2,13,23
2,14,14
2,15,15
2,16,Border
3,1,Border
3,2,23
3,3,1
3,4,26
3,5,9
3,6,3
3,7,19
3,8,20
3,9,9
3,10,26
3,11,8
3,12,18
3,13,20
3,14,6
3,15,13
3,16,Border
4,1,Border
4,2,6
4,3,17
4,4,25
4,5,10
4,6,13
4,7,14
4,8,13
4,9,1
4,10,22
4,11,5
4,12,19
4,13,12
4,14,25
4,15,1
4,16,Border
5,1,Border
5,2,15
5,3,5
5,4,13
5,5,16
5,6,19
5,7,17
5,8,24
5,9,23
5,10,7
5,11,24
5,12,24
5,13,17
5,14,26
5,15,11
5,16,Border
6,1,Border
6,2,10
6,3,2
6,4,3
6,5,25
6,6,8
6,7,26
6,8,12
6,9,25
6,10,21
6,11,12
6,12,2
6,13,6
6,14,18
6,15,12
6,16,Border
7,1,Border
7,2,11
7,3,21
7,4,25
7,5,14
7,6,23
7,7,7
7,8,23
7,9,11
7,10,13
7,11,6
7,12,11
7,13,4
7,14,20
7,15,15
7,16,Border
8,1,Border
8,2,21
8,3,11
8,4,13
8,5,26
8,6,6
8,7,18
8,8,21
8,9,25
8,10,17
8,11,5
8,12,20
8,13,13
8,14,26
8,15,15
8,16,Border
9,1,Border
9,2,20
9,3,22
9,4,16
9,5,16
9,6,4
9,7,20
9,8,18
9,9,26
9,10,21
9,11,22
9,12,7
9,13,23
9,14,14
9,15,25
9,16,Border
10,1,Border
10,2,16
10,3,18
10,4,1
10,5,1
10,6,4
10,7,21
10,8,7
10,9,12
10,10,19
10,11,10
10,12,18
10,13,19
10,14,23
10,15,3
10,16,Border
11,1,Border
11,2,7
11,3,3
11,4,8
11,5,9
11,6,17
11,7,7
11,8,23
11,9,12
11,10,21
11,11,9
11,12,22
11,13,3
11,14,13
11,15,2
11,16,Border
12,1,Border
12,2,25
12,3,23
12,4,8
12,5,20
12,6,21
12,7,15
12,8,24
12,9,19
12,10,14
12,11,17
12,12,15
12,13,1
12,14,20
12,15,14
12,16,Border
13,1,Border
13,2,7
13,3,7
13,4,7
13,5,25
13,6,15
13,7,2
13,8,26
13,9,8
13,10,26
13,11,25
13,12,14
13,13,19
13,14,15
13,15,10
13,16,Border
14,1,Border
14,2,25
14,3,26
14,4,25
14,5,1
14,6,2
14,7,26
14,8,13
14,9,10
14,10,22
14,11,4
14,12,26
14,13,24
14,14,25
14,15,9
14,16,Border
15,1,Border
15,2,11
15,3,26
15,4,23
15,5,17
15,6,4
15,7,7
15,8,26
15,9,17
15,10,9
15,11,4
15,12,17
15,13,4
15,14,3
15,15,22
15,16,Border
16,1,Border
16,2,21
16,3,22
16,4,8
16,5,24
16,6,22
16,7,2
16,8,26
16,9,3
16,10,10
16,11,6
16,12,26
16,13,24
16,14,7
16,15,24
16,16,Border
17,1,Border
17,2,12
17,3,22
17,4,15
17,5,24
17,6,4
17,7,2
17,8,15
17,9,18
17,10,1
17,11,22
17,12,24
17,13,3
17,14,12
17,15,21
17,16,Border
18,1,Border
18,2,9
18,3,19
18,4,3
18,5,10
18,6,19
18,7,10
18,8,17
18,9,1
18,10,6
18,11,2
18,12,8
18,13,11
18,14,22
18,15,19
18,16,Border
19,1,Border
19,2,2
19,3,6
19,4,11
19,5,12
19,6,21
19,7,16
19,8,5
19,9,20
19,10,8
19,11,12
19,12,16
19,13,9
19,14,16
19,15,25
19,16,Border
20,1,Border
20,2,11
20,3,5
20,4,5
20,5,25
20,6,8
20,7,8
20,8,2
20,9,25
20,10,10
20,11,1
20,12,10
20,13,16
20,14,14
20,15,3
20,16,Border
21,1,Border
21,2,25
21,3,10
21,4,8
21,5,26
21,6,11
21,7,4
21,8,5
21,9,12
21,10,25
21,11,6
21,12,16
21,13,4
21,14,16
21,15,18
21,16,Border
22,1,Border
22,2,18
22,3,26
22,4,4
22,5,9
22,6,6
22,7,26
22,8,20
22,9,5
22,10,20
22,11,13
22,12,26
22,13,24
22,14,5
22,15,26
22,16,Border
23,1,Border
23,2,25
23,3,26
23,4,14
23,5,13
23,6,5
23,7,23
23,8,25
23,9,17
23,10,18
23,11,19
23,12,14
23,13,25
23,14,3
23,15,14
23,16,Border
24,1,Border
24,2,Border
24,3,Border
24,4,Border
24,5,Border
24,6,Border
24,7,Border
24,8,Border
24,9,Border
24,10,Border
24,11,Border
24,12,Border
24,13,Border
24,14,Border
24,15,Border
24,16,Border
