Miniarray.ORF,Construct_ID,mean,sd,N,Construct,GeneID,MSA_order,Phylo_order,Array_order,Species,Gene,Pos,Species_position,Miniarray.Gene,Protein.Removed
AAT2,pKB11.12.YLR027C,51992.75,7006.367541,2,pKB11,12,6,21,84,T.delbrueckii,TDEL0E05230,Anc,T.phaffii(A),YLR027C,0
AAT2,pKB11.24.YLR027C,11554.25,3986.314479,2,pKB11,24,24,25,84,H. sapiens,CSNK1A1L,,H. sapiens(CSNK1A1L),YLR027C,0
AAT2,pKB11.14.YLR027C,29038.75,3331.5336,2,pKB11,14,14,14,84,V.polyspora,Kpol_1002.53,A,N.castellii(A),YLR027C,0
AAT2,pKB11.1.YLR027C,25430.25,3173.141681,2,pKB11,1,1,2,84,S.bayanusvar.uvarum,Suva_16.102,A,S.bayanusvar.uvarum(A),YLR027C,0
AAT2,pKB11.22.YLR027C,3486.5,1021.769299,2,pKB11,22,22,23,84,H. sapiens,CSNK1A1,,H. sapiens(CSNK1A1),YLR027C,0
AAT2,pKB11.7.YLR027C,10515.75,372.2917203,2,pKB11,7,3,4,84,S.mikatae,Smik_6.409,A,T.blattae(A),YLR027C,0
AAT2,pKB11.4.YLR027C,10874.5,400.9295449,2,pKB11,4,2,3,84,S.kudriavzevii,Skud_16.75,A,K.africana(A),YLR027C,0
AAT2,pKB11.5.YLR027C,31605.75,5114.149795,2,pKB11,5,15,11,84,K.africana,KAFR0C02290,B,C.glabrata(B),YLR027C,0
AAT2,pKB11.3.YLR027C,5611,274.3574311,2,pKB11,3,25,18,84,T.blattae,TBLA0A02040,A,N.dairenensis(A),YLR027C,0
AAT2,pKB11.26.YLR027C,4043,144.2497834,2,pKB11,26,26,26,84,Vehicle,Vehicle,,Vehicle,YLR027C,0
AAT2,pKB11.17.YLR027C,3751,159.0990258,2,pKB11,17,19,8,84,N.dairenensis,NDAI0F01640,A,S.mikatae(A),YLR027C,0
AAT2,pKB11.15.YLR027C,23906,1634.830878,2,pKB11,15,8,7,84,N.castellii,NCAS0D03820,B,T.blattae(B),YLR027C,0
AAT2,pKB11.16.YLR027C,15931,5374.718644,2,pKB11,16,11,15,84,V.polyspora,Kpol_1033.51,B,V.polyspora(A),YLR027C,0
AAT2,pKB11.6.YLR027C,58257,1482.095813,2,pKB11,6,13,19,84,T.blattae,TBLA0B05310,B,T.phaffii(B),YLR027C,0
AAT2,pKB11.19.YLR027C,49980,8233.55136,2,pKB11,19,10,9,84,N.dairenensis,NDAI0I01070,B,K.naganishii(A),YLR027C,0
AAT2,pKB11.8.YLR027C,9509.5,226.27417,2,pKB11,8,17,12,84,K.naganishii,KNAG0D01130,A,K.naganishii(B),YLR027C,0
AAT2,pKB11.9.YLR027C,30018.5,12605.59259,2,pKB11,9,5,20,84,Z.rouxii,ZYRO0G08866g,Anc,N.dairenensis(B),YLR027C,0
AAT2,pKB11.11.YLR027C,54300.25,7848.531718,2,pKB11,11,9,13,84,K.naganishii,KNAG0F01980,B,T.delbrueckii(Anc),YLR027C,0
AAT2,pKB11.10.YLR027C,5738,2254.256418,2,pKB11,10,7,5,84,C.glabrata,CAGL0H03553g,B,S.kudriavzevii(A),YLR027C,0
AAT2,pKB11.23.YLR027C,25650.5,9756.659367,2,pKB11,23,23,24,84,H. sapiens,CSNK1D,,H. sapiens(CSNK1D),YLR027C,0
AAT2,pKB11.20.YLR027C,51420,3237.134844,2,pKB11,20,12,16,84,T.phaffii,TPHA0E02830,A,V.polyspora(B),YLR027C,0
AAT2,pKB11.13.YLR027C,4659.75,298.0455083,2,pKB11,13,18,6,84,N.castellii,NCAS0A01090,A,K.africana(B),YLR027C,0
AAT2,pKB11.2.YLR027C,73574.5,6119.302084,2,pKB11,2,16,10,84,K.africana,KAFR0K00320,A,Z.rouxii(Anc),YLR027C,0
AAT2,pKB11.25.YLR027C,10368.75,3100.309682,2,pKB11,25,4,1,84,S.cerevisiae,YPL204W,A,S.cerevisiae(A),YLR027C,0
AAT2,pKB11.18.YLR027C,37832.5,3813.426871,2,pKB11,18,20,17,84,T.phaffii,TPHA0J02370,B,N.castellii(B),YLR027C,0
AAT2,pKB11.21.YLR027C,63592.75,1221.526964,2,pKB11,21,21,22,84,H. sapiens,CSNK1E,,H. sapiens(CSNK1E),YLR027C,0
ADE16,pKB11.5.YLR028C,12059.5,634.9818895,2,pKB11,5,15,11,62,K.africana,KAFR0C02290,B,C.glabrata(B),YLR028C,0
