"","ID","Description","GeneRatio","BgRatio","pvalue","Z.rouxii.Anc","qvalue","geneID","Count"
"GO:0061645","GO:0061645","endocytic patch","8/26","58/5283",1.71764278215436e-10,1.87223063254825e-08,1.42835557673889e-08,"ARC15/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2/SYP1",8
"GO:0015629","GO:0015629","actin cytoskeleton","8/26","82/5283",2.96749830020034e-09,1.61728657360918e-07,1.23385455639909e-07,"ARC15/ARC18/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2",8
"GO:0030479","GO:0030479","actin cortical patch","7/26","57/5283",6.5402515641222e-09,2.37629140163107e-07,1.81291183707247e-07,"ARC15/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2",7
"GO:0030864","GO:0030864","cortical actin cytoskeleton","7/26","71/5283",3.14669914726865e-08,8.57475517630708e-07,6.54182191142693e-07,"ARC15/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2",7
"GO:0030863","GO:0030863","cortical cytoskeleton","7/26","74/5283",4.2176131650586e-08,9.19439669982776e-07,7.01455663241326e-07,"ARC15/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2",7
"GO:0043332","GO:0043332","mating projection tip","7/26","117/5283",1.01340514359575e-06,1.84101934419895e-05,1.4045439709485e-05,"MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1",7
"GO:0005938","GO:0005938","cell cortex","8/26","180/5283",1.43609436932802e-06,1.92451234697075e-05,1.46824215751511e-05,"ARC15/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2/SYP1",8
"GO:0005937","GO:0005937","mating projection","7/26","127/5283",1.76840872004143e-06,1.92451234697075e-05,1.46824215751511e-05,"MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1",7
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","7/26","128/5283",1.86473575010502e-06,1.92451234697075e-05,1.46824215751511e-05,"MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1",7
"GO:0005856","GO:0005856","cytoskeleton","9/26","255/5283",1.87411225843398e-06,1.92451234697075e-05,1.46824215751511e-05,"ARC15/ARC18/ARC40/CHC1/PAN1/SAC6/SLA1/SLA2/SYP1",9
"GO:0051286","GO:0051286","cell tip","7/26","131/5283",2.18054083369765e-06,1.92451234697075e-05,1.46824215751511e-05,"MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1",7
"GO:0060187","GO:0060187","cell pole","7/26","131/5283",2.18054083369765e-06,1.92451234697075e-05,1.46824215751511e-05,"MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1",7
"GO:0042995","GO:0042995","cell projection","7/26","132/5283",2.29528995510273e-06,1.92451234697075e-05,1.46824215751511e-05,"MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SYP1",7
"GO:0030427","GO:0030427","site of polarized growth","8/26","272/5283",3.09074017036221e-05,0.0002406361989782,0.000183585318389936,"MID2/PAN1/SAC6/SLA1/SLA2/SMI1/SSD1/SYP1",8
"GO:0005933","GO:0005933","cellular bud","7/26","250/5283",0.000148135737391239,0.001076453025043,0.00082124373711634,"PAN1/SAC6/SLA1/SLA2/SMI1/SSD1/SYP1",7
"GO:0005935","GO:0005935","cellular bud neck","6/26","199/5283",0.000324317624309854,0.00220941381561088,0.00168559817897884,"PAN1/SLA1/SLA2/SMI1/SSD1/SYP1",6
"GO:0098797","GO:0098797","plasma membrane protein complex","2/26","20/5283",0.00419098630897205,0.0268716180987031,0.0205007999014732,"CHC1/GPA2",2
