"","ID","Description","GeneRatio","BgRatio","pvalue","K.naganishii.A","qvalue","geneID","Count"
"GO:0061645","GO:0061645","endocytic patch","8/18","58/5283",5.14819652398301e-12,4.68485883682454e-10,3.03472637203209e-10,"ARC15/ARC40/CHC1/END3/PAN1/SLA2/SYP1/VRP1",8
"GO:0030479","GO:0030479","actin cortical patch","7/18","57/5283",3.38220549602349e-10,1.53890350069069e-08,9.96860567249029e-09,"ARC15/ARC40/CHC1/END3/PAN1/SLA2/VRP1",7
"GO:0030864","GO:0030864","cortical actin cytoskeleton","7/18","71/5283",1.65801223037221e-09,5.02930376546238e-08,3.25784859301207e-08,"ARC15/ARC40/CHC1/END3/PAN1/SLA2/VRP1",7
"GO:0030863","GO:0030863","cortical cytoskeleton","7/18","74/5283",2.23121797377483e-09,5.07602089033774e-08,3.28811069819449e-08,"ARC15/ARC40/CHC1/END3/PAN1/SLA2/VRP1",7
"GO:0015629","GO:0015629","actin cytoskeleton","7/18","82/5283",4.64460283092888e-09,8.45317715229057e-08,5.47574228488458e-08,"ARC15/ARC40/CHC1/END3/PAN1/SLA2/VRP1",7
"GO:0005938","GO:0005938","cell cortex","8/18","180/5283",5.08589433115677e-08,7.71360640225444e-07,4.99666811482069e-07,"ARC15/ARC40/CHC1/END3/PAN1/SLA2/SYP1/VRP1",8
"GO:0005856","GO:0005856","cytoskeleton","8/18","255/5283",7.58874997420107e-07,9.8653749664614e-06,6.39052629406406e-06,"ARC15/ARC40/CHC1/END3/PAN1/SLA2/SYP1/VRP1",8
"GO:0043332","GO:0043332","mating projection tip","6/18","117/5283",1.55046376019151e-06,1.76365252721784e-05,1.14244698119374e-05,"END3/MID2/PAN1/SLA2/SYP1/VRP1",6
"GO:0005937","GO:0005937","mating projection","6/18","127/5283",2.51242665786162e-06,2.205517222767e-05,1.42867512405959e-05,"END3/MID2/PAN1/SLA2/SYP1/VRP1",6
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","6/18","128/5283",2.63077274576944e-06,2.205517222767e-05,1.42867512405959e-05,"END3/MID2/PAN1/SLA2/SYP1/VRP1",6
"GO:0051286","GO:0051286","cell tip","6/18","131/5283",3.01348927989822e-06,2.205517222767e-05,1.42867512405959e-05,"END3/MID2/PAN1/SLA2/SYP1/VRP1",6
"GO:0060187","GO:0060187","cell pole","6/18","131/5283",3.01348927989822e-06,2.205517222767e-05,1.42867512405959e-05,"END3/MID2/PAN1/SLA2/SYP1/VRP1",6
"GO:0042995","GO:0042995","cell projection","6/18","132/5283",3.15073888966714e-06,2.205517222767e-05,1.42867512405959e-05,"END3/MID2/PAN1/SLA2/SYP1/VRP1",6
"GO:0030427","GO:0030427","site of polarized growth","7/18","272/5283",1.73152829617824e-05,0.000112549339251586,7.29064545759259e-05,"END3/MID2/PAN1/SLA2/SSD1/SYP1/VRP1",7
"GO:0005935","GO:0005935","cellular bud neck","5/18","199/5283",0.000413766761869694,0.00251018502200948,0.00162603078348792,"PAN1/SLA2/SSD1/SYP1/VRP1",5
"GO:0005933","GO:0005933","cellular bud","5/18","250/5283",0.00117540896240816,0.00668513847369641,0.00433045407203007,"PAN1/SLA2/SSD1/SYP1/VRP1",5
"GO:0098797","GO:0098797","plasma membrane protein complex","2/18","20/5283",0.00200911882078557,0.0107546948642051,0.00696660396061871,"CHC1/GPA2",2
"GO:0031410","GO:0031410","cytoplasmic vesicle","5/18","296/5283",0.00249764428249869,0.0119624015635464,0.00774892408974663,"CHC1/END3/PAN1/SLA2/SYP1",5
"GO:0097708","GO:0097708","intracellular vesicle","5/18","296/5283",0.00249764428249869,0.0119624015635464,0.00774892408974663,"CHC1/END3/PAN1/SLA2/SYP1",5
"GO:0031982","GO:0031982","vesicle","5/18","302/5283",0.00272828985999826,0.0124137188629921,0.00804127537683699,"CHC1/END3/PAN1/SLA2/SYP1",5
"GO:0005844","GO:0005844","polysome","2/18","31/5283",0.00480918339385026,0.0208397947066845,0.0134994621581762,"SSA1/SSB1",2
"GO:0030136","GO:0030136","clathrin-coated vesicle","2/18","38/5283",0.00716885360595711,0.0296529853700953,0.0192084115757703,"CHC1/SLA2",2
"GO:0012506","GO:0012506","vesicle membrane","3/18","149/5283",0.0131458744619705,0.0498447740016382,0.0322881127136118,"CHC1/END3/PAN1",3
"GO:0030659","GO:0030659","cytoplasmic vesicle membrane","3/18","149/5283",0.0131458744619705,0.0498447740016382,0.0322881127136118,"CHC1/END3/PAN1",3
