"","ID","Description","GeneRatio","BgRatio","pvalue","N.dairenensis.B","qvalue","geneID","Count"
"GO:0030479","GO:0030479","actin cortical patch","11/49","57/5283",1.78493668708046e-12,1.22530716896747e-10,7.94607092657476e-11,"AIM21/ARC15/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SLA1/SLA2/VRP1",11
"GO:0061645","GO:0061645","endocytic patch","11/49","58/5283",2.18804851601334e-12,1.22530716896747e-10,7.94607092657476e-11,"AIM21/ARC15/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SLA1/SLA2/VRP1",11
"GO:0015629","GO:0015629","actin cytoskeleton","12/49","82/5283",4.96538615716718e-12,1.85374416534241e-10,1.20214612226153e-10,"AIM21/ARC15/ARC18/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SLA1/SLA2/VRP1",12
"GO:0030864","GO:0030864","cortical actin cytoskeleton","11/49","71/5283",2.25610844486822e-11,6.31710364563101e-10,4.09661796568176e-10,"AIM21/ARC15/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SLA1/SLA2/VRP1",11
"GO:0030863","GO:0030863","cortical cytoskeleton","11/49","74/5283",3.60977760756793e-11,8.08590184095217e-10,5.24367694573026e-10,"AIM21/ARC15/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SLA1/SLA2/VRP1",11
"GO:0005938","GO:0005938","cell cortex","14/49","180/5283",4.08531360849759e-10,7.62591873586216e-09,4.94537963133919e-09,"AIM21/ARC15/ARC40/CHC1/END3/LAS17/PAN1/RTN2/SAC6/SHS1/SLA1/SLA2/TCB3/VRP1",14
"GO:0005856","GO:0005856","cytoskeleton","13/49","255/5283",3.14591755928493e-07,5.03346809485588e-06,3.26418513670165e-06,"AIM21/ARC15/ARC18/ARC40/CHC1/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",13
"GO:0043332","GO:0043332","mating projection tip","9/49","117/5283",9.19251386456863e-07,1.28695194103961e-05,8.34583495598994e-06,"AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",9
"GO:0005937","GO:0005937","mating projection","9/49","127/5283",1.84059433068197e-06,2.19277665183506e-05,1.42200741519379e-05,"AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",9
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","9/49","128/5283",1.96612904275132e-06,2.19277665183506e-05,1.42200741519379e-05,"AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",9
"GO:0051286","GO:0051286","cell tip","9/49","131/5283",2.38814710105418e-06,2.19277665183506e-05,1.42200741519379e-05,"AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",9
"GO:0060187","GO:0060187","cell pole","9/49","131/5283",2.38814710105418e-06,2.19277665183506e-05,1.42200741519379e-05,"AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",9
"GO:0042995","GO:0042995","cell projection","9/49","132/5283",2.5451871851657e-06,2.19277665183506e-05,1.42200741519379e-05,"AIM21/END3/LAS17/PAN1/SAC6/SHS1/SLA1/SLA2/VRP1",9
"GO:0000139","GO:0000139","Golgi membrane","7/49","148/5283",0.000376161370446093,0.00300929096356874,0.0019515138767504,"COG1/COG3/COG4/COG6/KES1/RET2/SEC26",7
"GO:0030660","GO:0030660","Golgi-associated vesicle membrane","3/49","18/5283",0.000554896583410613,0.00414322782279925,0.00268686766704086,"CHC1/RET2/SEC26",3
"GO:0099023","GO:0099023","vesicle tethering complex","4/49","43/5283",0.000618036983200338,0.00432625888240237,0.0028055626211068,"COG1/COG3/COG4/COG6",4
