"","ID","Description","GeneRatio","BgRatio","pvalue","S.kudriavzevii.A","qvalue","geneID","Count"
"GO:0061645","GO:0061645","endocytic patch","7/21","58/5283",1.36753518549485e-09,1.3538598336399e-07,9.78867290669997e-08,"ARC15/ARC40/CHC1/PAN1/SLA1/SLA2/SYP1",7
"GO:0015629","GO:0015629","actin cytoskeleton","7/21","82/5283",1.63455026906315e-08,8.09102383186259e-07,5.84996938401548e-07,"ARC15/ARC18/ARC40/CHC1/PAN1/SLA1/SLA2",7
"GO:0030479","GO:0030479","actin cortical patch","6/21","57/5283",5.77263761638554e-08,1.90497041340723e-06,1.37733108040076e-06,"ARC15/ARC40/CHC1/PAN1/SLA1/SLA2",6
"GO:0030864","GO:0030864","cortical actin cytoskeleton","6/21","71/5283",2.20129937626415e-07,5.44821595625377e-06,3.93916730489374e-06,"ARC15/ARC40/CHC1/PAN1/SLA1/SLA2",6
"GO:0030863","GO:0030863","cortical cytoskeleton","6/21","74/5283",2.82641685728875e-07,5.59630537743172e-06,4.04623886938179e-06,"ARC15/ARC40/CHC1/PAN1/SLA1/SLA2",6
"GO:0005856","GO:0005856","cytoskeleton","8/21","255/5283",3.10822296248557e-06,5.12856788810119e-05,3.70805546401787e-05,"ARC15/ARC18/ARC40/CHC1/PAN1/SLA1/SLA2/SYP1",8
"GO:0005938","GO:0005938","cell cortex","7/21","180/5283",3.68174129341056e-06,5.20703411496637e-05,3.76478808950253e-05,"ARC15/ARC40/CHC1/PAN1/SLA1/SLA2/SYP1",7
"GO:0043332","GO:0043332","mating projection tip","5/21","117/5283",7.4929208209334e-05,0.000927248951590509,0.000670419231346673,"MID2/PAN1/SLA1/SLA2/SYP1",5
"GO:0005937","GO:0005937","mating projection","5/21","127/5283",0.000110825689582334,0.00101381242669042,0.00073300632658106,"MID2/PAN1/SLA1/SLA2/SYP1",5
"GO:0120025","GO:0120025","plasma membrane bounded cell projection","5/21","128/5283",0.000115036355201106,0.00101381242669042,0.00073300632658106,"MID2/PAN1/SLA1/SLA2/SYP1",5
"GO:0051286","GO:0051286","cell tip","5/21","131/5283",0.000128412148790199,0.00101381242669042,0.00073300632658106,"MID2/PAN1/SLA1/SLA2/SYP1",5
"GO:0060187","GO:0060187","cell pole","5/21","131/5283",0.000128412148790199,0.00101381242669042,0.00073300632658106,"MID2/PAN1/SLA1/SLA2/SYP1",5
"GO:0042995","GO:0042995","cell projection","5/21","132/5283",0.000133126884312884,0.00101381242669042,0.00073300632658106,"MID2/PAN1/SLA1/SLA2/SYP1",5
"GO:0030427","GO:0030427","site of polarized growth","6/21","272/5283",0.000496263994632021,0.00350929539061215,0.00253728959661485,"MID2/PAN1/SLA1/SLA2/SSD1/SYP1",6
"GO:0005935","GO:0005935","cellular bud neck","5/21","199/5283",0.000896064710175199,0.00591402708715631,0.004275957915222,"PAN1/SLA1/SLA2/SSD1/SYP1",5
"GO:0005933","GO:0005933","cellular bud","5/21","250/5283",0.0024844380050794,0.0153724601564288,0.0111145910753552,"PAN1/SLA1/SLA2/SSD1/SYP1",5
"GO:0098797","GO:0098797","plasma membrane protein complex","2/21","20/5283",0.00273890454265503,0.0159500911601676,0.0115322296532844,"CHC1/GPA2",2
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/21","24/5283",0.00394070426335049,0.0216738734484277,0.0156706368367154,"DCP2/GPA2",2
"GO:0031410","GO:0031410","cytoplasmic vesicle","5/21","296/5283",0.00516493624769045,0.0255664344260677,0.0184850349917342,"CHC1/PAN1/SLA1/SLA2/SYP1",5
"GO:0097708","GO:0097708","intracellular vesicle","5/21","296/5283",0.00516493624769045,0.0255664344260677,0.0184850349917342,"CHC1/PAN1/SLA1/SLA2/SYP1",5
"GO:0031982","GO:0031982","vesicle","5/21","302/5283",0.0056258196196169,0.0257756142507173,0.0186362761196042,"CHC1/PAN1/SLA1/SLA2/SYP1",5
"GO:0098552","GO:0098552","side of membrane","2/21","29/5283",0.00572791427793717,0.0257756142507173,0.0186362761196042,"DCP2/GPA2",2
"GO:0005844","GO:0005844","polysome","2/21","31/5283",0.00652900394330862,0.0281031039298936,0.020319096940274,"SSA1/SSB1",2
"GO:0030136","GO:0030136","clathrin-coated vesicle","2/21","38/5283",0.00970704578937369,0.0400415638811665,0.0289508383191847,"CHC1/SLA2",2
"GO:0045121","GO:0045121","membrane raft","2/21","40/5283",0.0107189691775914,0.0408145364839059,0.0295097127156364,"PST2/VMA8",2
"GO:0098857","GO:0098857","membrane microdomain","2/21","40/5283",0.0107189691775914,0.0408145364839059,0.0295097127156364,"PST2/VMA8",2
